Checked by,Final Decision ,Name,Source (Paper),Year (Paper),Source (Code),Year (Code),Official Code?,Constraints (open-source code),Source (Benchmark / Survey),Number of appearances,Free Comments,Potential issue,Deterministic?,Robustness,Leakage-safety?,Implemented in TabArena?
Basti,"Too few citations, Variation of another method",equal gini,Gini index with equal weights for splits,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",Uniform Gini,Gini index with uniform priors,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,Information Gain,https://doi.org/10.1023/A:1022643204877,1986,https://stackoverflow.com/posts/59894908/revisions,2025,No,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark study of feature selection strategies for multi‑omics data, A review of feature selection methods with applications, Feature Selection for Classification: A Review, A review of feature selection methods on synthetic data, Filter methods, A survey of feature selection and feature extraction techniques in machine learning",7,"There are 8 papers and 9 versions of IG, optionally to the mentioned paper, I found https://doi.org/10.1016/j.ipm.2004.08.006, which is a text categorization version of IG, the rest of the references is useless. I think we can use the formula provided by Quinlan in the Decision Tree paper, and exclude the text FS paper, which I moved to the line below now",,,,,Yes
Basti,"No, Too few citations, Variation of another method, Wrong data domain",Information Gain Text,https://doi.org/10.1016/j.ipm.2004.08.006,2006,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,This is the Information Gain Text version,,,,,No
Basti,"Too few citations, Variation of another method",Equal Information Gain,"Hunt, E. B., Marin, J., & Stone, P. J. (1966). Experiments in induction. Academic Press.
",1966,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,Information gain with equal weights for splits ,,,,,No
Basti,"Too few citations, Variation of another method",Uniform Information Gain,Information gain with uniform priors,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,MI (Battiti),https://doi.org/10.1109/72.298224,1994,,,,,"Feature Selection: A Data Perspective, A survey on feature selection methods, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, Feature selection: a review and comparative study, Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods, Feature Selection for Classification: A Review",6,"MI, MIM and MIFS are the same methods. Basically all citations can be concluded by two papers, most use Battiti, some use Guyon (see below)",,,,,Yes
Basti,No,MI (Guyon),https://www.jmlr.org/papers/volume3/guyon03a/guyon03a.pdf,2003,,,,,"Feature Selection for Classification: A Review, An Introduction to Variable and Feature Selection",2,This is the Guyon version of MI,,,,,No
Basti,"Too few citations, Variation of another method",MIFS-U,https://doi.org/10.1109/72.977291,2002,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,"This is an optimization of MI, only cited once, so we don't use it",,,,,No
Basti,"Too few citations, Variation of another method",AMIFS,https://doi.org/10.1109/IJCNN.2004.1379918,2004,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,"This is an optimization of MI, only cited once, so we don't use it",,,,,No
