Checked by,Final Decision ,Name,Source (Paper),Year (Paper),Source (Code),Year (Code),Official Code?,Constraints (open-source code),Source (Benchmark / Survey),Number of appearances,Free Comments,Potential issue,Deterministic?,Robustness,Leakage-safety?,Implemented in TabArena?
Basti,Too few citations,CAE-S,https://doi.org/10.48550/arXiv.1901.09346,2019,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,BRIDGE regularization,,,,,,,Feature Selection for Classification: A Review,1,,,,,,
Basti,Too few citations,sum minority,,,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,max of minority,,,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,distance,,,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,entropy,,,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,Multinomial Logistic Regression,,,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,Balanced Error Rate,,,,,,,Filter methods,1,,,,,,
Basti,Too few citations,ROC,,,,,,,Filter methods,1,,,,,,
Basti,Too few citations,C4.5,,,,,,,Filter methods,1,,,,,,
Basti,Too few citations,Conditional Infomax Feature Extraction,,,,,,,Feature Selection: A Data Perspective,1,,,,,,
Basti,Too few citations,DeepFS,,,,,,,Feature Selection: A Data Perspective,1,,,,,,
Basti,Too few citations,CPFS,,,,,,,Feature Selection: A Data Perspective,1,,,,,,
Basti,Too few citations,GreedyFS,,,,,,,Feature Selection: A Data Perspective,1,,,,,,
Basti,Too few citations,Sure Independence Screening (SIS),https://doi.org/10.48550/arXiv.math/0612857,2008,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Generalized SIS,https://pmc.ncbi.nlm.nih.gov/articles/PMC3095976/,2009,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Sure Independent Ranking and Screening (SIRS),https://doi.org/10.1198/jasa.2011.tm10563,2010,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Martingale Difference Correlation (MDC-SIS),https://doi.org/10.1080/01621459.2014.887012,2013,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Ball Correlation (Bcor-SIS),https://doi.org/10.1080/01621459.2018.1462709,2018,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Projection Correlation (PC-Screen),https://doi.org/10.1080/01621459.2020.1783274,2019,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Weighted Leverage Score (WLS),https://doi.org/10.1080/01621459.2021.1918554,2021,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Kolmogorov Filter (Kfilter),https://doi.org/10.1214/14-AOS1303,2014,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Mean-Variance (MVSIS),https://doi.org/10.1080/01621459.2014.920256,2015,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Quantile Correlation (QCSIS),https://doi.org/10.1016/j.jmva.2015.10.010,2016,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Pairwise SIS (PSIS),https://doi.org/10.1080/01621459.2014.998760,2015,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Category-Adaptive Variable Screening (CAS),https://doi.org/10.1080/01621459.2019.1573734,2019,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Categorical Concordance Index (CI-SIS),https://doi.org/10.1016/j.cmpb.2022.107269,2023,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Concordance Index (CSIS),https://doi.org/10.1007/s00180-023-01399-5,2024,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Maximum Correlation (MC-SIS),https://doi.org/10.1016/j.jmva.2016.02.014,2016,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,"Multi-response rank canonical correlation
(mRCC)",https://www3.stat.sinica.edu.tw/sstest/oldpdf/A31n405.pdf,2021,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Conditional Distance Correlation (CDCSIS),https://doi.org/10.1080/01621459.2014.993081,2015,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Nonparametric Independence Screening (NIS),https://doi.org/10.48550/arXiv.0912.2695,2011,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Conditional SIS,https://doi.org/10.48550/arXiv.1206.1024,2012,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,SIT-BY,https://doi.org/10.48550/arXiv.2207.13522,2022,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Robust Rank Correlation (RRCS),https://doi.org/10.48550/arXiv.1012.4255,2012,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Distance Correlation (DC-SIS),https://doi.org/10.48550/arXiv.1012.4255,2012,,,,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Maximum Mean Discrepancy MMD,https://proceedings.mlr.press/v151/poignard22a/poignard22a.pdf,2022,https://github.com/PeterJackNaylor/knockoff-MMD-HSIC,2022,No,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
Basti,Too few citations,Hilbert-Schmidt Independence Criterion (HSIC),https://proceedings.mlr.press/v151/poignard22a/poignard22a.pdf,2022,https://github.com/PeterJackNaylor/knockoff-MMD-HSIC,,No,,A Benchmarking Study of Feature Screening Approaches Across Omics Classification Settings,1,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,RECENT METHODS,,,,,,,,0,,,,,,
Basti,"Yes, Recent Method",CEFS+,https://doi.org/10.1038/s41598-025-15068-8,2025,https://github.com/xr-Yan/CEFSplus/tree/main,2025,Yes,,,0,,,,,,
Basti,Recent Method,FIGFS,https://doi.org/10.1016/j.engappai.2025.111298,2025,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,Multi-viewFS,https://doi.org/10.48550/arXiv.2501.06805,2025,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZYERP,2025,Yes,,,0,,,,,,
Basti,Recent Method,EHOFS,https://doi.org/10.1016/j.eswa.2024.125860,2025,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,Ts-repso,https://doi.org/10.1109/TCBBIO.2025.3532297,2025,,,,,,0,,,,,,
Basti,Recent Method,MOPSO,https://doi.org/10.1007/s11227-024-06762-x,2025,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,MsFDSs,https://doi.org/10.1016/j.inffus.2024.102901,2025,https://github.com/Binbincqnu/MsFSVE,2025,,,,0,,,,,,
Basti,Recent Method,ICS-RCFS,https://doi.org/10.1016/j.patcog.2026.113416,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,mRMR-MOBSTA,https://doi.org/10.1016/j.eswa.2025.131084,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,FSRDE,https://doi.org/10.1016/j.patcog.2025.112032,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,CAWOA-NRS,https://doi.org/10.22266/ijies2026.0131.23,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,LSSSMV-FS,https://doi.org/10.1016/j.patcog.2025.111874,2026,,,,,,0,,,,,,
Basti,Recent Method,ISFS,https://doi.org/10.1016/j.bspc.2025.109061,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
Basti,Recent Method,ObDI-FS,https://doi.org/10.1016/j.patcog.2025.111985,2026,Pseudocode-Algo in the paper,,,,,0,,,,,,
"Basti, Ricardo","Yes, Recent Method",LLM-Select,https://doi.org/10.48550/arXiv.2407.02694,2025,https://github.com/taekb/llm-select,2025,,,,0,"Zero-shot Feature selection using a LLM, provided with the feature name and the predictive task. See also: https://doi.org/10.1145/3715073.3715077",,,,,"In Progress, but not sure if we should include it"
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
,,,,,,,,,,0,,,,,,
